word,diff,rt,st,avg_at_tick_2,avg_at_tick_3,avg_at_tick_4,avg_at_tick_5,avg_at_tick_6,avg_at_tick_7,avg_at_tick_8,avg_at_tick_9,avg_at_tick_10,avg_at_tick_11,avg_at_tick_12,avg_at_tick_13,avg_at_tick_14,avg_at_tick_15,avg_at_tick_16,avg_at_tick_17,avg_at_tick_18,avg_at_tick_19,avg_at_tick_20
106_SAL,0.0,12,15,0.06606350788,0.030503781659999993,0.022493199550000002,0.022471153540000007,0.027279327995,0.036164590744000004,0.0460982963891,0.05144725096044,0.04957246718972899,0.043008229470625,0.033180297146954016,0.021767562667799997,0.012681919737169998,0.007101276413330004,0.004014599845599997,0.0023367196525970065,0.0014126969165879967,0.0008920719139399978,0.0005932470530169992
107_LEM,0.0,10,12,0.06606350788,0.03626488210000001,0.028953060889999997,0.032972785139999995,0.049183674755999995,0.06987630328919998,0.08072079686990001,0.07183765701656002,0.045388122432610006,0.021004249654959,0.008537237095126002,0.0036751993988680034,0.0017694847908390008,0.0009654551111949978,0.0006272341474830012,0.0005231447359719989,0.0005214908235580028,0.0005627538712389992,0.0006062327406680044
108_NAD,0.0,10,13,0.06606350788,0.03185260903,0.02130677301,0.022195512650000002,0.028538019720999997,0.038725634331,0.051023308310999986,0.054818284038,0.043198919560899995,0.025760113834500005,0.013486061004009998,0.00699437052928,0.003687812519720004,0.0019681175207399916,0.0013173488230900057,0.00108378739064,0.0009682449119399984,0.0009047803743800016,0.0008965529962599994
109_NEP,0.0,13,16,0.06606350788,0.026711561050000002,0.02198444386,0.02263647723,0.028773171361100004,0.0389199116702,0.050628352208460015,0.05840698041679,0.05906546375448299,0.055864638194256015,0.05127220005985901,0.040586075414,0.026863328130310005,0.015636628911530007,0.008769130249574,0.0050336160454019984,0.003033012533974998,0.0019333405554160037,0.0012861870570499978
110_SUM,0.0,9,12,0.06606350788,0.0348751897,0.026004156600000005,0.02756586555,0.03450610205000001,0.043826231807999994,0.04713811668899999,0.036954001012,0.0213200171984,0.010847979332399995,0.005628916609150001,0.003093185604469998,0.0018064890764800034,0.0011140733788499977,0.0007240686716600002,0.0004907537538600008,0.0003441235997399995,0.0002488073468099998,0.00018381054554300077
111_DOS,0.0,9,11,0.06606350788,0.030253573430000003,0.025439638789999997,0.029245023420000002,0.04045059468,0.05240116638,0.04957012390199999,0.030556745784999995,0.0149872612985,0.0073986269934000004,0.004014438582799997,0.0023846666769000006,0.001540535504299999,0.00106748257626,0.0007828780686900025,0.0005977069881900004,0.0004691020193000003,0.00038409117750999887,0.00032492038850999856
112_TAN,0.0,12,16,0.06606350788,0.03202337407,0.023813610169999992,0.025677696969999997,0.03254236502999999,0.04251679667,0.05199335563,0.055860167037,0.054849417192000004,0.0555110638976,0.05006949564919999,0.035210194345500004,0.020207223119209992,0.010585458521190003,0.0055760880898900024,0.0031359124610659977,0.0019094858097599978,0.001247758545773001,0.0008601457651360009
113_BUK,0.0,10,12,0.06606350788,0.032988538740000004,0.0235398439,0.02034371220000001,0.017564614309999994,0.014324781780000002,0.011807959473999995,0.011257696049000003,0.010914794073999999,0.010288663971999998,0.009180885654999998,0.007684641569999999,0.006035591500000003,0.004540354696000001,0.0033635418730000007,0.00249766353,0.0018792161729999995,0.0014406578879999992,0.0011250900649999993
114_REP,0.0,12,14,0.06606350788,0.03160279992,0.023220854439999997,0.022399295399999998,0.025996348160000005,0.035787780240000004,0.046908903956999995,0.0512860389336,0.044460422848100006,0.03330371611087,0.022350523180060006,0.013546015745229996,0.007936278946760003,0.004733925922266005,0.0029330454868009954,0.0019027131527000016,0.001281396739523005,0.0008976329676439896,0.0006483642628280057
115_KUN,0.0,12,15,0.06606350788,0.036584625589999996,0.030368072229999998,0.03438362291,0.044710197172,0.056919693028,0.06040642654596,0.04961173166797,0.036457287634118006,0.028982330288627997,0.02297634920079,0.017598554824825002,0.012508782649493,0.008366923682890003,0.005418665225932004,0.0035028459370739905,0.002302992081298003,0.0015504690779399994,0.0010707554516990003
116_DES,0.0,10,13,0.06606350788,0.03192145743,0.028840012790000005,0.030568497479999998,0.03759958345,0.045713873540000005,0.04861888907099999,0.048137751050000004,0.03759705034500001,0.023204945850700005,0.012794589262699997,0.007055694674200003,0.0041802582521,0.0027417418148400004,0.0020251173330799992,0.0016660414878599957,0.0014910167997900028,0.001437482641879998,0.0014674782750400011
117_TUR,0.0,9,11,0.06606350788,0.03175395858,0.03065225767,0.032206840286,0.032588657496,0.030869715941399995,0.02577944772401,0.01786303082278999,0.010317061979428001,0.005436179214958001,0.0028681094667599993,0.0015932611736960004,0.0009479388563050034,0.0006037856966619993,0.0004073122020599992,0.00028871389378799984,0.00021384799605900042,0.00016492874842699974,0.0001302556539790007
118_PAK,0.0,11,14,0.06606350788,0.03352522133000001,0.02401712804,0.02256548377000001,0.026432901280000004,0.035890519382000004,0.04932889857699999,0.06353458323500001,0.07283320833649999,0.061560497695,0.03436127281089999,0.015202027270619999,0.006737017387609999,0.003270352640850001,0.00174463289113,0.0010030108212000033,0.000607042401829998,0.00038522648322900007,0.00025805862718299876
119_DUP,0.0,12,16,0.06606350788,0.029973062519999996,0.01944384765,0.01744374631,0.02113945696,0.027998237440000004,0.035887236919999996,0.04260672464500001,0.04701147827700001,0.04708099910000001,0.040947200846499984,0.03035779508878,0.020118807405970003,0.012956354527195004,0.008315758226062996,0.005250885673867997,0.0033141734888119984,0.0021380621541990043,0.0014236589759829997
120_RET,0.0,13,15,0.06606350788,0.034376201720000006,0.027825363309999997,0.032391234379999995,0.04511447992299999,0.06225980386100001,0.07181518730349999,0.06223894614560001,0.04876783761449,0.036454918894337995,0.024599000331914,0.015998266366221994,0.010267436393992,0.006333208041523001,0.003791961358434998,0.002270816075138,0.0013876483693650008,0.0008716900240580022,0.0005611072584899954
121_KEP,0.0,13,15,0.06606350788,0.03719875943,0.02892882733,0.025026596931,0.025267327172999995,0.0321483275965,0.04044535797103,0.04336690199723,0.04000301608686199,0.035187467157228994,0.027942819441215,0.019171286927244,0.011882266759347004,0.007110748950191002,0.004263051407206995,0.002585755089735001,0.0016213226899319997,0.001074427336245002,0.0007596917103300014
